title,content,category,predicted_clean
Hewitt falls to Dent," Lleyton Hewitt suffered a shock defeat to Taylor Dent in the quarter-finals of the Australian Hardcourt Championships in Adelaide on Friday.  The top seed was a strong favourite for the title but went down 7-6 (7-4) 6-3 to the American. Dent will face Juan Ignacio Chela next after the fourth seed was too strong for Jurgen Melzer. Olivier Rochus beat third seed Nicolas Kiefer 6-7 (4-7) 7-6 (8-6) 7-5 and will take on second seed Joachim Johansson. The Swede reached the last four by beating compatriot Thomas Enqvist 6-3 4-6 6-1. ""I felt like I was striking the ball much better,"" said Johansson. ""I felt like I had a lot of break chances, I didn't take care of them all, but I broke him four times and he only broke me once. ""I felt that was the key to get up in the set early."" ",sport,sport
Apple laptop is 'greatest gadget'," The Apple Powerbook 100 has been chosen as the greatest gadget of all time, by US magazine Mobile PC.  The 1991 laptop was chosen because it was one of the first ""lightweight"" portable computers and helped define the layout of all future notebook PCs. The magazine has compiled an all-time top 100 list of gadgets, which includes the Sony Walkman at number three and the 1956 Zenith remote control at two. Gadgets needed moving parts and/or electronics to warrant inclusion. The magazine staff compiled the list and specified that gadgets also needed to be a ""self-contained apparatus that can be used on its own, not a subset of another device"".  ""In general we included only items that were potentially mobile,"" said the magazine.  ""In the end, we tried to get to the heart of what really makes a gadget a gadget,"" it concluded. The oldest ""gadget"" in the top 100 is the abacus, which the magazine dates at 190 A.D., and put in 60th place. Other pre-electronic gadgets in the top 100 include the sextant from 1731 (59th position), the marine chronometer from 1761 (42nd position) and the Kodak Brownie camera from 1900 (28th position). The Tivo personal video recorder is the newest device to make the top 10, which also includes the first flash mp3 player (Diamond Multimedia), as well as the first ""successful"" digital camera (Casio QV-10) and mobile phone (Motorola Startac). The most popular gadget of the moment, the Apple iPod, is at number 12 in the list while the first Sony transistor radio is at number 13.  Sony's third entry in the top 20 is the CDP-101 CD player from 1983. ""Who can forget the crystalline, hiss-free blast of Madonna's Like A Virgin emanating from their first CD player?"" asked the magazine. Karl Elsener's knife, the Swiss Army Knife from 1891, is at number 20 in the list. Gadgets which could be said to feature surprisingly low down in the list include the original telephone (23rd), the Nintendo GameBoy (25th), and the Pulsar quartz digital watch (36th). The list also contains plenty of oddities: the Pez sweet dispenser (98th), 1990s toy Tamagotchi (86th) and the bizarre Ronco inside the shell egg scrambler (84th).  Almost everyone has a mobile phone, how many people own a Powerbook? or an iPod? The findings of this magazine are not very convincing.  What about the magnetic compass? We still use it 1,000 years after it was invented.  I am amazed by the obsession with individual gadgets rather than genre. For example the Sony walkman was the first truly portable way of listening to your own music on the move whereas Minidisc, Flash MP3, portable CD players etc. are really just improvements in technology.  My favourite 'true' gadgets are probably my portable MiniDisc player and the little battery powered whizzy thing I use to froth up my coffee!  Calm down it's only in their opinion, and any list that includes the Taser in the top 100 gadgets has to be suspect....  Swiss army knife and no question about it. How many of the other items are still relatively unchanged from the original idea and still as useful/popular? You don't need a laptop or even a pocket calculator to work that one out!  This list merely illustrates interesting cultural divides between the American authors and the overwhelmingly British responses. Brits see no further than mobile phones and the over thirties Sinclair; whilst the Americans focus on Apple, TV remotes and TiVO (which probably is rather obscure in Europe).  What about the Soda Stream. This gadget changed my pre-teen life. Lap tops may enable you to ""think different, but you cant use them to ""get busy with the fizzy""  How about Astro Wars, one of the pioneers for computer games, i remember spending many an hour playing this and it still works today! However tried it the other day and it was rubbish, still a great gadget of its time.  Why worry about mobile phones. Soon they will be subsumed into the PDA's / laptops etc.  What about the Marine Chronometer? Completely revolutionised navigation for boats and was in use for centuries. For it's time, a technological marvel!  Sony Net Minidisc! It paved the way for more mp3 player to explode onto the market. I always used my NetMD, and could not go anywhere without it.  A laptop computer is not a gadget! It's a working tool!  The Sinclair Executive was the world's first pocket calculator. I think this should be there as well.  How about the clockwork radio? Or GPS? Or a pocket calculator? All these things are useful to real people, not just PC magazine editors.  Are the people who created this list insane ? Surely the most important gadget of the modern age is the mobile phone? It has revolutionised communication, which is more than can be said for a niche market laptop. From outside the modern age, the marine chronometer is the single most important gadget, without which modern transportation systems would not have evolved so quickly.  Has everyone forgot about the Breville pie maker??  An interesting list. Of the electronic gadgets, thousands of journalists in the early 1980s blessed the original noteboook pc - the Tandy 100. The size of A4 paper and light, three weeks on a set of batteries, an excellent keyboard, a modem. A pity Tandy did not make it DOS compatible.  What's an Apple Powerbook 100 ? It's out of date - not much of a ""gadget"". Surely it has to be something simple / timeless - the tin opener, Swiss Army Knife, safety razor blade, wristwatch or the thing for taking stones out of horses hooves ?  It has to be the mobile phone. No other single device has had such an effect on our way of living in such a short space of time.  The ball point pen has got to be one of the most used and common gadgets ever. Also many might be grateful for the pocket calculator which was a great improvement over the slide rule.  The Casio pocket calculator that played a simple game and made tinny noises was also a hot gadget in 1980. A true gadget, it could be carried around and shown off.  All top 10 are electronic toys, so the list is probably a better reflection of the current high-tech obsession than anything else. I say this as the Swiss Army Knife only made No 20.  Sinclair QL a machine far ahead of its time. The first home machine with a true multi-takings OS. Shame the marketing was so bad!!!  Apple.. a triumph of fashion over... well everything else.  Utter rubbish. Yes, the Apple laptop and Sony Walkman are classic gadgets. But to call the sextant and the marine chronometer 'gadgets' and rank them as less important than a TV remote control reveals a quite shocking lack of historical perspective. The former literally helped change the world by vastly improving navigation at see. The latter is the seed around which the couch potato culture has developed. No competition.  I'd also put Apple's Newton and the first Palm Pilot there as the front runners for portable computing, and possibly the Toshiba Libretto for the same reason. I only wish that Vulcan Inc's Flipstart wasn't just vapourware otherwise it would be at the top.  How did a laptop ever manage to beat off the challenge of the wristwatch or the telephone (mobile or otherwise)? What about radios and TVs?  The swiss army knife. By far the most useful gadget. I got mine 12 years ago. Still wearing and using it a lot! It stood the test of time.  Psion Organiser series 3, should be up there. Had a usable qwerty keyboard, removable storage, good set of apps and programmable. Case design was good (batteries in the hinge - a first, I think). Great product innovation.  The first mobile PC was voted best gadget by readers of...err... mobile PC?! Why do you keep putting these obviously biased lists on your site? It's obviously the mobile phone or remote control, and readers of a less partisan publication would tell you that.  The Motorola Startac should be Number One. Why? There will be mobile phones long after notebook computers and other gadgets are either gone or integrated in communications devices.  The Psion series 3c! The first most practical way to carry all your info around...  I too would back the Sinclair Spectrum - without this little beauty I would never have moved into the world of IT and earn the living that I do now.  I'd have put the mobile phone high up the list. Probably a Nokia model.  Sinclair Spectrum - 16k. It plugged into the tv. Games were rubbish but it gave me a taste for programming and that's what I do for a living now.  I wish more modern notebooks -- even Apple's newest offerings -- were more like the PB100. Particularly disheartening is the demise of the trackball, which has given way to the largely useless ""trackpad"" which every notebook on the market today uses. They're invariably inaccurate, uncomfortable, and cumbersome to use.  Congratulations to Apple, a deserved win! ",tech,tech
Strachan turns down Pompey," Former Southampton manager Gordon Strachan has rejected the chance to become Portsmouth's new boss.  The Scot was Pompey chairman Milan Mandaric's first choice to replace Harry Redknapp, who left Fratton Park for rivals Saints earlier in December. ""I think it's a fantastic job for anybody apart from somebody who has just been the Southampton manager,"" Strachan told the BBC. Club director Terry Brady held initial talks with Strachan on Saturday. The former Scotland international added that joining Southampton's local rivals would not be a wise move. ""It's got everything going for it but I've got too many memories of the other side and I don't want to sour those memories,"" he said. ""Everything's right - it's 10 minutes away, there are good players there, a good set-up, a good atmosphere at the ground. ""There's lots to do but it's not right for somebody who has just been the Southampton manager."" Since Redknapp's departure, executive director Velimir Zajec and coach Joe Jordan have overseen first-team affairs.  The duo had gone five matches unbeaten until Sunday's 1-0 defeat at home to champions Arsenal, but the club are still in a respectable 12th place in the Premiership table. Strachan left St Mary's in February, after earlier announcing his intention to take a break from the game at the end of the 2003-04 season. His previous managerial experience came at Coventry, whom he led for five years from 1996 to 2001. ",sport,sport
Wi-fi web reaches farmers in Peru," A network of community computer centres, linked by wireless technology, is providing a helping hand for poor farmers in Peru.  The pilot scheme in the Huaral Valley, 80 kilometres north of the capital Lima, aims to offer the 6,000-strong community up-to-date information on agricultural market prices and trends. The Agricultural Information Project for Farmers of the Chancay-Huaral Valley also provides vital links between local organisations in charge of water irrigation, enabling them to coordinate their actions. More than 13,000 rural inhabitants, as well as 18,000 students in the region, will also benefit from the telecoms infrastructure.  The 14 telecentres uses only free open source software and affordable computer equipment. The network has been three years in the making and was officially inaugurated in September.  The non-government organisation, Cepes (Peruvian Centre for Social Studies) led the $200,000 project, also backed by local institutions, the Education and Agriculture ministries, and European development organisations. ""The plan includes training on computers and internet skills for both operators and users of the system,"" said Carlos Saldarriaga, technical coordinator at Cepes. Farmers are also taking extra lessons on how to apply the new information to make the most of their plots of land. The Board of Irrigation Users which runs the computer centres, aims to make the network self-sustainable within three years, through the cash generated by using the telecentres as internet cafes.  One of the key elements of the project is the Agricultural Information System, with its flagship huaral.org website. There, farmers can find the prices for local produce, as well as information on topics ranging from plague prevention to the latest farming techniques. The system also helps the inhabitants of the Chancay-Huaral Valley to organise their vital irrigation systems. ""Water is the main element that unites them all. It is a precious element in Peru's coastal areas, because it is so scarce, and therefore it is necessary to have proper irrigation systems to make the most of it,"" Mr Saldarriaga told the BBC News website. The information network also allows farmers to look beyond their own region, and share experiences with other colleagues from the rest of Peru and even around the world.  Cepes says the involvement of the farmers has been key in the project's success. ""Throughout the last three years, the people have provided a vital thrust to the project; they feel it belongs to them,"" said Mr Saldarriaga. The community training sessions, attended by an equal number of men and women, have been the perfect showcase for their enthusiasm. ""We have had an excellent response, mainly from young people. But we have also had a great feedback when we trained 40 or 50-year old women, who were seeing a computer for the first time in their lives."" So far, the Huaral programme promoters say the experience has been very positive, and are already planning on spreading the model among other farmers' organisations in Peru. ""This is a pilot project, and we have been very keen on its cloning potential in other places,"" underlined Mr Saldarriaga.  The Cepes researcher recalls what happened in Cuyo, a 50-family community with no electricity, during the construction of the local telecentre site. There it was necessary to build a mini-hydraulic dam in order to generate 2kW worth of power for the computers, the communications equipment and the cabin lights. ""It was already dark when the technicians realised they didn't have any light bulbs to test the generator, so they turned up to the local store to buy light bulbs,"" recalls Carlos Saldarriaga. ""The logical answer was 'we don't sell any', so they had to wait until the next morning to do the testing."" Now, with the wireless network, Cuyo as well as the other communities is no longer isolated. ",tech,unknown
"UK needs tax cuts, Tories insist"," A major change of direction is needed in Britain if it is to prosper, the shadow chancellor said as the Tory Party spring conference began.  Oliver Letwin said the UK could not compete with other countries without the £4bn tax cuts he was promising. Tory co-chairman Liam Fox had opened the forum in Brighton with an attack on Labour's record and party leader Michael Howard is due to speak later. Tony Blair has said Conservative policies would cause economic failure. But Mr Letwin said Britain had fallen from fourth to 11th in the international economic competitiveness league.  ""Can this country compete, can this country prosper, unless we do something about the burden of regulation and tax on our economy?"" he said. ""If we are going to take on the great challenges, the challenges like those posed by the Chinese and the Indians, we have got to do something about getting down the burden of regulation and getting down the burden of tax,"" he said. ""The fact is the very carefully costed, fully funded plans we have laid out for saving £12bn by 2007-2008 are absolutely crucial to delivering an economy that will prosper and provide people with jobs and indeed provide the public services with the money they need on a sustainable long-term basis."" Mr Letwin said voting for Labour meant choosing higher taxes, borrowing and waste.  Earlier, Dr Fox had said Labour's rule had been characterised by ""lost trust and failure to deliver"". He also attacked the government's ""failure"" to control immigration and asylum and criticised its record on the NHS, telling delegates Labour cannot be trusted on education or crime. A Tory government would sort out the ""shambles"" of immigration, put patients before statistics and bring discipline to schools, he said. Michael Howard, who had been due to welcome delegates to the conference on Friday, will address them in a lunchtime speech. His welcome address had to be postponed after he stayed in London to lead the party's opposition to the Prevention of Terrorism Bill in its lengthy progress through Parliament. The bill was finally passed on Friday evening, after more than 30 hours of debate. Mr Howard is likely to defend his party's handling of the bill, which was only passed after the Conservatives accepted Prime Minister Tony Blair's promise that MPs would be able to review it within a year. ",politics,politics
Mild winter drives US oil down 6%," US oil prices have fallen by 6%, driven down by forecasts of a mild winter in the densely populated northeast.  Light crude oil futures fell $2.86 to $41.32 a barrel on the New York Mercantile Exchange (Nymex), and have now lost $4 in five days. Nonetheless, US crude is still 30% more expensive than at the beginning of 2004, boosted by growing demand and bottlenecks at refineries. Traders ignored the possible effects of Asia's tidal waves on global supplies.  Instead, the focus is now on US consumption, which is heavily influenced in the short term by the weather. ""With the revised milder temperatures... I'm more inclined to think we'll push lower and test the $40-40.25 range,"" said John Brady of ABN AMRO. ""The market definitely feels to be on the defensive."" Statistics released last week showed that stockpiles of oil products in the US had risen, an indication that severe supply disruptions may not arise this winter, barring any serious incident. Oil prices have broken records in 2004, topping $50 a barrel at one point, driven up by a welter of worries about unrest in Iraq and Saudi Arabia, rising demand and supply bottlenecks. London's International Petroleum Exchange remained closed for the Christmas holiday. ",business,business
Edu describes tunnel fracas," Arsenal's Edu has lifted the lid on the scenes that followed Manchester United's win over the Gunners.  The Brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at United boss Sir Alex Ferguson. ""I saw people being pulled apart, people pushing, pointing and shouting,"" he told Uefa's official website. ""The United players were trying to wind us up about the result but I didn't see any soup being thrown at anyone."" However, Edu tried to play down the incidents, adding: ""There was nothing that I haven't seen in Brazilian derbies. ""Derby matches in Brazil are worse. I like to play in games like this with this intense rivalry."" But Edu was highly critical of the ferocity of some of United's challenges during the game, particularly on Jose Antonio Reyes. ""I think we were a lot fairer in the tackles than United,"" he said. ""Reyes was being kicked all over the park - they were beating up the boy and Gary Neville was tackling in such a way that he should have been sent off."" Following the game, the Football Association said it would look into events in the tunnel. It also charged Ruud van Nistelrooy with serious foul play while Arsenal boss Arsene Wenger has been asked to explain comments he made about the referee. ",sport,sport
Robots learn 'robotiquette' rules," Robots are learning lessons on ""robotiquette"" - how to behave socially - so they can mix better with humans.  By playing games, like pass-the-parcel, a University of Hertfordshire team is finding out how future robot companions should react in social situations. The study's findings will eventually help humans develop a code of social behaviour in human-robot interaction. The work is part of the European Cogniron robotics project, and was on show at London's Science Museum.  ""We are assuming a situation in which a useful human companion robot already exists,"" said Professor Kerstin Dautenhahn, project leader at Hertfordshire. ""Our mission is to look at how such a robot should be programmed to respect personal spaces of humans.""  The research also focuses on human perception of robots, including how they should look, and how a robot can learn new skills by imitating a human demonstrator. ""Without such studies, you will build robots which might not respect the fact that humans are individuals, have preferences and come from different cultural backgrounds,"" Professor Dautenhahn told BBC News Online. ""And I want robots to treat humans as human beings, and not like other robots,"" she added.  In most situations, a companion robot will eventually have to deal not only with one person, but also with groups of people. To find out how they would react, the Hertfordshire Cogniron team taught one robot to play pass-the-parcel with children.  Showing off its skills at the Science Museum, the unnamed robot had to select, approach, and ask different children to pick up a parcel with a gift, moving it arm as a pointer and its camera as an eye. It even used speech to give instructions and play music. However, according to researchers, it will still take many years to build a robot which would make full use of the ""robotiquette"" for human interaction. ""If you think of a robot as a companion for the human being, you can think of 20 years into the future,"" concluded Professor Dautenhahn. ""It might take even longer because it is very, very hard to develop such a robot.""  You can hear more on this story on the BBC World Service's Go Digital programme. ",tech,tech
Podcasts mark rise of DIY radio," An Apple iPod or other digital music players can hold anything up to 10,000 songs, which is a lot of space to fill.  But more and more iPod owners are filling that space with audio content created by an unpredictable assortment of producers. It is called ""podcasting"" and its strongest proponent is former MTV host and VJ (video jockey) Adam Curry. Podcasting takes its name from the Apple iPod, although you do not need an iPod to create one or to listen to a podcast. A podcast is basically an internet-based radio show which podcasters create, usually in the comfort of their own home. They need only a microphone, a PC, and some editing software. They then upload their shows to the internet and others can download and listen to them, all for free. Using technology based on XML computer code and RSS - Really Simple Syndication - listeners can subscribe to podcasts collected automatically in a bit of software, which Mr Curry has pioneered. The latest MP3 files of shows can then be picked up by a music playing device automatically.  Mr Curry records, hosts, edits and produce a daily, 40 minute podcast called The Daily Source Code. He wants to make podcasting ""the Next Big Thing"" and says it is an extension of his childhood love of radio gadgetry. ""I was always into technologies and wires,"" he explains. ""My parents gave me the Radio Shack 101 project kit, which allows you to build an AM transmitter and subsequently an FM transmitter. ""I had my mom drive me around the block, see how far it would reach on the car radio.""  Mr Curry is American, but he grew up in the Netherlands where he hosted illegal, pirate radio shows in the Dutch capital. He tried university in the US, and ended up back in Holland where he hosted a music video show. He spent the next seven years in New York where he worked at MTV hosting the Top 20 Video Countdown, but spent most of his hours tinkering with this new thing called the internet. ""At a certain point in 1995, I was driving in on a Friday afternoon, beautiful blue sky, one of those beautiful days thinking, this is so stupid. ""You know, I'm going do the Top 20 Countdown, take the cheque, go home, and sit on the internet until three in the morning. ""So, after I finished the show, I quit. I said, on air, it's been great, I've been here for seven years at that point, there's something on the internet, I've got to go find it, and I'll see you later.""  But Mr Curry's technology and broadcast interests started to gel a couple of years ago when computer storage was growing exponentially and high-speed internet connections were becoming more widely available. The MP3 format also meant that people could create and upload audio more cheaply and efficiently than ever before.  Most importantly, Mr Curry says, people across the globe were bored with the radio they were hearing. ""Listen to 99% of the radio that you hear today, it's radio voices, and it's fake, it's just fake."" He wanted to make it easier for people to find ""real voices"" on the internet. He wanted software that would automatically download new audio content directly onto players like, iPods. Mr Curry is not a computer programmer, so he asked others to create one for him. No one did, so he tried to write one himself. He finished it a few months ago and says it ""totally sucked."" He put it up on the net as open source software and now dozens of coders and audio junkies are refining it; the result is a work in progress called ""ipodder"". Doug Kaye, a California-based podcaster, praises the former MTV VJ for what he has done. ""Adam created a simple script that solved what we call the last mile problem. Ipodder takes audio from the web and brings it all the way down to the MP3 player,"" he explains. ""People can wake up in the morning, pick up their iPods as they go to work or before they go exercise, and discover that there's all this new content automatically put onto their players."" It is created an explosion in podcasting content and podcasters are springing up in Australia, Finland, Brazil, even Malaysia. One couple broadcasts theirs, The Dawn and Drew Show, from Wisconsin in the US, sometimes even from the comfort of their own bed. Topics range from the comfort of their bed, to the latest films or music and have thousands of listeners.  Already, websites are springing up that point listeners in the right direction of good podcasts.  Chris McIntyre runs Podcast Alley and says that there are good sites out there but that not everyone has the technological know-how to simply listen. ""If I were to tell my mom, or my mother-in-law to copy an XML or RSS file to their podcast aggregator, they would think I was speaking a foreign language,"" Mr McIntyre says. Along with technical challenges, there may be legal challenges to podcasters who air their favourite, albeit copyrighted, music. Some in podcasting also worry that too much attention may turn what they see as the ""anti-radio"" into something that is more like conventional broadcasting. Already there is interest in podcasting from the corporate world. Heineken is doing its own podcast now, and so is Playboy. For his part, Adam Curry's pressing ahead with his own vision of what podcasting should be. He loves doing The Daily Source Code because it is about introducing good music and cool ideas to new audiences. He has even been called the Ed Sullivan or Johnny Carson of podcasting which, he says, ""is a badge I'll wear with great honour. ""To be the Johnny Carson, or Ed Sullivan of anything is wonderful. And you know what? You don't need a hell of a lot of talent. ""You just have to be nice, have your ears open, and let people shine. And that's good for me.""  Clark Boyd is technology correspondent for The World, a BBC World Service and WGBH-Boston co-production. ",tech,tech
Apple sues to stop product leaks," Computer firm Apple has issued a lawsuit to prevent online leaks of information about future products.  The lawsuit, against an unidentified individual, comes just weeks before the MacWorld conference in San Francisco, used to showcase new products. The complaint said an ""unidentified individual... has recently misappropriated and disseminated confidential information"". The lawsuit was filed with the Santa Clara California Superior Court. Apple is famously secretive about its future product launches while Apple users are equally famous for speculating about new technology from the company. Fans have speculated in recent weeks about the possibility of a new type of iPod being announced at the MacWorld conference.  Apple said in the seven-page complaint, filed on 13 December, that it did not know the ""true names or capacities, whether individual, associate, corporate or otherwise,"" of the defendants. The company said it would amend the complaint once they had discovered the names of those who had allegedly leaked information. It is not the first time Apple has sued people who have posted information about future products on the internet. In December 2002, Apple sued a former contractor who allegedly posted online drawings, images and engineering details of the company's PowerMac G4 computer. In a statement, Apple said of the current lawsuit: ""Apple has filed a civil complaint against unnamed individuals who we believe stole our trade secrets and posted detailed information about an unannounced Apple product on the internet."" ",tech,tech
Chinese exports rise 25% in 2004," Exports from China leapt during 2004 over the previous year as the country continued to show breakneck growth.  The spurt put China's trade surplus - a sore point with some of its trading partners - at a six-year high. It may also increase pressure on China to relax the peg joining its currency, the yuan, with the weakening dollar. The figures released by the Ministry of Commerce come as China's tax chief confirmed that growth had topped 9% in 2004 for the second year in a row. State Administration of Taxation head Xie Xuren said a tightening of controls on tax evasion had combined with the rapid expansion to produce a 25.7% rise in tax revenues to 2.572 trillion yuan ($311bn; £165bn).  According to the Ministry of Commerce, China's exports totalled $63.8bn in December, taking the annual total up 35.4% to $593.4bn. With imports rising a similar amount, the deficit rose to $43.4bn. The increased tax take comes despite healthy tax rebates for many exporters totalling 420bn yuan in 2004, according to Mr Xie. China's exporting success has made the trade deficit of the United States soar even further and made trade with China a sensitive political issue in Washington. The peg keeping the yuan around 8.30 to the dollar is often blamed by US lawmakers for job losses at home. A US report issued on Tuesday on behalf of a Congressionally-mandated panel said almost 1.5 million posts disappeared between 1989 and 2003. The pace accelerated in the final three years of the period, said the report for the US-China Economic and Security Review Commission, moving out of labour-intensive industries and into more hi-tech sectors. The US's overall trade deficit with China was $124bn in 2003, and is expected to rise to about $150bn for 2004. ",business,politics
French boss to leave EADS," The French co-head of European defence and aerospace group EADS Philippe Camus is to leave his post.  Mr Camus said in a statement that he has accepted the invitation to return full-time to the Lagardere group, which owns 30% of EADS. ""I will give up my role as soon as the board of directors asks me to do so,"" he said. Airbus head Noel Forgeard is now set to replace Mr Camus, bringing the company's power struggle to an end. Fighting between Mr Camus and Mr Forgeard has hit the headlines in France and analysts feared that this fighting could destabilise the defence and aerospace group. French finance minister Herve Gaymard is on record as saying that he ""deplored"" the infighting at the company. The company should now be able put this dispute behind it, with the departure of Mr Camus and with the clear support given to Mr Forgeard by the Lagardere group, the main French shareholder of EADS. The other main shareholders of EADS are the French government (15%) , who also support Mr Forgeard, and Germany's DaimlerChrysler (30%). Rainer Hertrich, the German co-head of EADS will also step down when his contract expires next year.  Mr Camus recently came under pressure as it became clear that the A380 superjumbo was running over budget. EADS - Airbus' majority owner - admitted earlier this week that the project was running 1.45bn euros (£1bn; $1.9bn) over budget. But Mr Forgeard has denied this, telling French media that there is no current overrun in the budget. ""But for the sake of transparency, we told our shareholders last week that if we look at the forecast for total costs of the project up to 2010, there is a risk that we will go over by around 10%, which is about 1bn euros (£686m; $1.32bn),"" he told France's LCI Television. Due to enter service in 2006, the A380 will replace the Boeing 747 jumbo as the world's biggest passenger aircraft. ",business,politics
Text message record smashed," UK mobile owners continue to break records with their text messaging, with latest figures showing that 26 billion texts were sent in total in 2004.  The figures collected by the Mobile Data Association (MDA) showed that 2.4 billion were fired off in December alone, the highest monthly total ever. That was 26% more than in December 2003. The records even surpassed the MDA's own predictions, it said. Every day 78 million messages are sent and there are no signs of a slow down. Before December's bumper text record, the previous highest monthly total was in October 2004, when 2.3 billion were sent. Text messaging is set to smash more records in 2005 too, said the MDA, with forecasts suggesting a total of 30 billion for the year.  Even though mobiles are becoming increasingly sophisticated with much more multimedia applications, texting is still one of the most useful functions of mobiles. People are using SMS to do much more too. Booking cinema tickets, text voting, and news or sports text alerts are growing popular. Mobile owners have also given the chance to donate to the Disasters Emergency Committee's (DEC) Asian Tsunami fund by texting ""Donate"" to a simple short code number. Looking further ahead in the year, the MDA's chairman Mike Short, has predicted that more people will go online through their mobiles, estimating 15 billion WAP page impressions. Handsets with GPRS capability - an ""always on"" net connection - will rise to 75%, while 3G mobile ownership growing to five million by the end of 2005. These third generation mobiles offer a high-speed connection which means more data like video can be received on the phone. Globally, mobile phone sales passed 167 million in the third quarter of 2004, according to a recent report from analysts Gartner. That was 26% more than the previous year. It is predicted that there would be two billion handsets in use worldwide by the end of 2005. ",tech,tech
Godzilla gets Hollywood fame star," Movie monster Godzilla has received a star on Hollywood's Walk of Fame, honouring both his 50th birthday and the launch of his 28th film.  An actor dressed as the giant creature breathed smoke over photographers on Monday as Godzilla received the 2,271st star on Hollywood Boulevard. ""Godzilla should thank you for this historical and monumental star,"" said Final Wars producer Shogo Tomiyama. ""But unfortunately, he cannot speak English,"" he added. Hollywood's honorary mayor, Johnny Grant, said: ""I do hereby proclaim this Godzilla Day in Hollywood.  ""He's loose, he's wild, and I'm getting the hell out of here,"" he added. The premiere of Godzilla: Final Wars at Grauman's Chinese Theatre followed the ceremony on Hollywood Boulevard. The monster was joined by co-stars including Japanese pop star and actor Masahiro Matsuoka. Director Ryuhei Kitamura said it may not be Godzilla's final outing, as it has been billed. ""That's what the producers say. But the producer's a liar,"" he said. ""[Godzilla's] been working for the last 50 years. So, I think Godzilla just deserves a vacation."" And producer Shogo Tomiyama added: ""So long as Godzilla can fascinate people, I believe he will be resurrected by new generations of filmmakers in the future."" Godzilla first appeared in 1954 as a prehistoric lizard woken by atomic bomb tests. ",entertainment,entertainment
Christmas sales worst since 1981," UK retail sales fell in December, failing to meet expectations and making it by some counts the worst Christmas since 1981.  Retail sales dropped by 1% on the month in December, after a 0.6% rise in November, the Office for National Statistics (ONS) said. The ONS revised the annual 2004 rate of growth down from the 5.9% estimated in November to 3.2%. A number of retailers have already reported poor figures for December. Clothing retailers and non-specialist stores were the worst hit with only internet retailers showing any significant growth, according to the ONS.  The last time retailers endured a tougher Christmas was 23 years previously, when sales plunged 1.7%.  The ONS echoed an earlier caution from Bank of England governor Mervyn King not to read too much into the poor December figures. Some analysts put a positive gloss on the figures, pointing out that the non-seasonally-adjusted figures showed a performance comparable with 2003. The November-December jump last year was roughly comparable with recent averages, although some way below the serious booms seen in the 1990s. And figures for retail volume outperformed measures of actual spending, an indication that consumers are looking for bargains, and retailers are cutting their prices.  However, reports from some High Street retailers highlight the weakness of the sector. Morrisons, Woolworths, House of Fraser, Marks & Spencer and Big Food all said that the festive period was disappointing.  And a British Retail Consortium survey found that Christmas 2004 was the worst for 10 years. Yet, other retailers - including HMV, Monsoon, Jessops, Body Shop and Tesco - reported that festive sales were well up on last year. Investec chief economist Philip Shaw said he did not expect the poor retail figures to have any immediate effect on interest rates. ""The retail sales figures are very weak, but as Bank of England governor Mervyn King indicated last night, you don't really get an accurate impression of Christmas trading until about Easter,"" said Mr Shaw. ""Our view is the Bank of England will keep its powder dry and wait to see the big picture."" ",business,business
'No-one can define new hunt ban'," The new law banning hunting with dogs is ""so poorly drafted"" no-one can define the offence, pro-hunt MPs say.  The accusation came after it emerged a Devon man had been told he could use his four dogs to ""chase away unwanted animals"" from his farm. Because he did not intend to kill deer or foxes it was not hunting. Lib Dem MP Lembit Opik said ministers had invented a new category of hunting - chasing away - and asked how police were supposed to interpret the rules.  North Devon landowner Giles Bradshaw was put in touch with the Middle Way Group, of which Mr Opik is a co-chairman, after he had been in contact with the rural affairs ministry, Defra. He had asked whether his technique of using his four dogs to frighten off deer and foxes would be outlawed under the Hunting Act. Mr Bradshaw was initially told it was an offence - prompting him to complain. The Middle Way group also said Mr Bradshaw would be put in a position where he would have to buy a rifle to shoot animals that would have previously gone free. In a later conversation Mr Bradshaw was told that according to Defra's lawyers chasing away unwanted animals was ""not in fact hunting as described in the Hunting Act 2004 therefore you would not be committing an offence"".  Mr Opik said: ""Hunting with dogs and flushing are not defined in the Hunting Act. ""Now Defra have also invented a completely new category of hunting - 'chasing away' which isn't even covered by the Act. ""However, all these activities involve the use of dogs to chase wild mammals. ""How is the village bobby who sees a group of people with dogs supposed to distinguish between illegal hunting, exempt hunting, drag hunting, unintentional hunting, a hunt exercising hounds or simply chasing away?"" Tory MP Peter Luff, another co-chairman of Middle Way, said that the legislation was ""so poorly drafted nobody appears able to properly define the offence"".  ""It is no wonder the government desperately wants to move on from this disastrous law. However, I seriously doubt the countryside will be that accommodating."" Mike Hobday, of the League Against Cruel Sports, said: ""There is no confusion, it is a matter of simple common sense. ""If Mr Bradshaw is setting his dogs to chase wild animals then he is hunting them and that will be a criminal offence. ""If all the dogs are doing is barking at the deer, then nobody can define that as hunting."" ",politics,politics
